flight_id,flight_number,aircraft_id,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,flight_status,created_at,updated_at
FL00046,DL766,AC0009,YXX,NAN,2023-10-26 23:34:00,2023-10-27 08:34:00,2023-10-26 23:34:00,2023-10-27 08:34:00,On Time,2020-12-10,2022-08-28
FL00047,UA9192,AC0047,MHM,GIS,2023-11-30 03:29:00,2023-11-30 09:29:00,2023-11-30 03:29:00,2023-11-30 09:29:00,Delayed,2021-09-06,2022-12-19
FL00048,AA7904,AC0011,RYZ,FUN,2023-11-28 06:22:00,2023-11-28 08:22:00,2023-11-28 06:22:00,2023-11-28 08:22:00,Delayed,2022-08-04,2022-02-02
FL00049,AA6628,AC0013,EXJ,SYI,2023-09-19 22:32:00,2023-09-20 04:32:00,2023-09-19 22:32:00,2023-09-20 04:32:00,Delayed,2020-08-07,2022-07-26
FL00050,DL2896,AC0050,EEF,YZY,2023-12-09 11:35:00,2023-12-09 20:35:00,,,Cancelled,2021-09-22,2022-08-03
FL00051,LH7322,AC0022,FUN,MKO,2023-08-17 19:57:00,2023-08-18 00:57:00,2023-08-17 19:57:00,2023-08-18 00:57:00,On Time,2021-06-29,2022-01-30
FL00052,AA7832,AC0004,VXN,YXX,2023-04-01 10:45:00,2023-04-01 12:45:00,2023-04-01 10:45:00,2023-04-01 12:45:00,On Time,2021-06-23,2022-06-30
FL00053,LH3970,AC0020,YWA,EEF,2023-12-31 07:55:00,2023-12-31 08:55:00,2023-12-31 07:55:00,2023-12-31 08:55:00,On Time,2021-10-13,2022-06-16
FL00054,DL8942,AC0025,OFX,WUE,2023-12-13 09:49:00,2023-12-13 17:49:00,2023-12-13 09:49:00,2023-12-13 17:49:00,Delayed,2022-10-27,2022-12-04
FL00055,BA2505,AC0040,CZS,EPT,2023-07-24 00:33:00,2023-07-24 01:33:00,2023-07-24 00:33:00,2023-07-24 01:33:00,On Time,2020-12-07,2022-11-04
FL00056,UA4506,AC0004,EEF,YXX,2023-02-21 20:55:00,2023-02-21 23:55:00,2023-02-21 20:55:00,2023-02-21 23:55:00,On Time,2020-12-18,2022-08-27
FL00057,DL2126,AC0043,WUE,JEE,2023-06-20 03:09:00,2023-06-20 11:09:00,2023-06-20 03:09:00,2023-06-20 11:09:00,On Time,2021-12-25,2022-08-22
FL00058,AA5585,AC0008,YZY,NPC,2023-04-03 16:16:00,2023-04-03 21:16:00,,,Cancelled,2022-12-18,2022-02-13
FL00059,BA8283,AC0027,GUE,LTH,2023-01-16 00:40:00,2023-01-16 06:40:00,2023-01-16 00:40:00,2023-01-16 06:40:00,Delayed,2021-12-02,2022-10-24
FL00060,DL3896,AC0018,LTH,CZS,2023-07-14 11:51:00,2023-07-14 17:51:00,2023-07-14 11:51:00,2023-07-14 17:51:00,On Time,2021-11-16,2022-06-07
FL00061,UA8787,AC0016,NRQ,MKO,2023-01-10 23:54:00,2023-01-11 04:54:00,,,Cancelled,2021-09-18,2022-11-08
FL00062,LH308,AC0006,RYZ,FJK,2023-05-25 21:50:00,2023-05-26 05:50:00,2023-05-25 21:50:00,2023-05-26 05:50:00,Delayed,2022-09-19,2022-06-11
FL00063,BA3069,AC0003,YQQ,BHO,2023-06-26 18:34:00,2023-06-26 23:34:00,2023-06-26 18:34:00,2023-06-26 23:34:00,Delayed,2021-11-07,2022-02-07
FL00064,LH6631,AC0047,MHM,EGA,2023-09-15 07:30:00,2023-09-15 19:30:00,2023-09-15 07:30:00,2023-09-15 19:30:00,Delayed,2021-08-15,2022-02-25
FL00065,BA4597,AC0022,EPT,AGZ,2023-09-24 04:13:00,2023-09-24 09:13:00,2023-09-24 04:13:00,2023-09-24 09:13:00,On Time,2020-06-23,2022-02-21
FL00066,DL9080,AC0019,HZP,EXJ,2023-05-21 20:07:00,2023-05-22 00:07:00,2023-05-21 20:07:00,2023-05-22 00:07:00,Delayed,2022-06-19,2022-07-10
FL00067,BA8049,AC0043,NPC,EXJ,2023-09-19 04:37:00,2023-09-19 10:37:00,2023-09-19 04:37:00,2023-09-19 10:37:00,On Time,2020-11-14,2022-03-26
FL00068,LH1308,AC0034,PFA,VXN,2023-09-25 16:16:00,2023-09-25 21:16:00,2023-09-25 16:16:00,2023-09-25 21:16:00,Delayed,2021-08-21,2022-10-19
FL00069,UA9220,AC0048,BMW,MKO,2023-03-08 20:31:00,2023-03-09 04:31:00,2023-03-08 20:31:00,2023-03-09 04:31:00,Delayed,2020-06-19,2022-02-02
FL00070,UA8785,AC0027,AJF,XYK,2023-05-17 19:44:00,2023-05-18 03:44:00,2023-05-17 19:44:00,2023-05-18 03:44:00,Delayed,2020-07-14,2022-05-29
FL00071,DL6948,AC0025,RYZ,TJS,2023-11-15 09:45:00,2023-11-15 12:45:00,,,Cancelled,2021-04-05,2022-06-08
FL00072,BA6306,AC0033,MKO,CZS,2023-09-21 18:02:00,2023-09-21 21:02:00,2023-09-21 18:02:00,2023-09-21 21:02:00,Delayed,2020-12-26,2022-12-12
FL00073,UA1056,AC0007,HZP,DZJ,2023-02-17 08:09:00,2023-02-17 16:09:00,2023-02-17 08:09:00,2023-02-17 16:09:00,Delayed,2021-09-03,2022-04-12
FL00074,AA8379,AC0027,OFX,FWE,2023-01-17 20:49:00,2023-01-18 06:49:00,2023-01-17 20:49:00,2023-01-18 06:49:00,Delayed,2022-08-18,2022-07-11
FL00075,BA6049,AC0045,YZY,UPD,2023-12-04 06:14:00,2023-12-04 10:14:00,2023-12-04 06:14:00,2023-12-04 10:14:00,Delayed,2022-08-28,2022-03-19
FL00076,LH9079,AC0045,EGA,DWY,2023-03-07 05:47:00,2023-03-07 17:47:00,2023-03-07 05:47:00,2023-03-07 17:47:00,Delayed,2020-03-17,2022-06-28
FL00077,DL8779,AC0027,CZS,VXN,2023-02-04 22:50:00,2023-02-04 23:50:00,,,Cancelled,2020-08-20,2022-03-28
FL00078,AA321,AC0030,VXN,AGZ,2023-03-26 13:23:00,2023-03-26 18:23:00,2023-03-26 13:23:00,2023-03-26 18:23:00,Delayed,2021-11-09,2022-05-21
FL00079,BA1685,AC0002,BRC,MKO,2023-12-13 22:40:00,2023-12-14 03:40:00,2023-12-13 22:40:00,2023-12-14 03:40:00,Delayed,2021-02-03,2022-02-01
FL00080,DL3247,AC0020,AGZ,ZBQ,2023-03-21 14:28:00,2023-03-21 17:28:00,,,Cancelled,2021-12-03,2022-07-13
FL00081,BA1132,AC0049,NAN,FWE,2023-08-22 19:07:00,2023-08-23 02:07:00,,,Cancelled,2021-04-05,2022-02-22
FL00082,LH5402,AC0035,NAN,FUN,2023-07-13 10:41:00,2023-07-13 13:41:00,2023-07-13 10:41:00,2023-07-13 13:41:00,Delayed,2020-09-12,2022-07-16
FL00083,LH6998,AC0035,CZS,JMW,2023-08-03 02:08:00,2023-08-03 04:08:00,2023-08-03 02:08:00,2023-08-03 04:08:00,On Time,2020-12-29,2022-11-28
FL00084,DL1688,AC0023,NPC,WUE,2023-11-22 13:37:00,2023-11-22 22:37:00,2023-11-22 13:37:00,2023-11-22 22:37:00,Delayed,2020-12-01,2022-06-03
FL00085,UA2169,AC0044,GUE,TJS,2023-06-01 02:06:00,2023-06-01 07:06:00,2023-06-01 02:06:00,2023-06-01 07:06:00,Delayed,2020-12-23,2022-09-17
FL00086,UA3681,AC0020,UIA,NAN,2023-05-21 10:04:00,2023-05-21 12:04:00,2023-05-21 10:04:00,2023-05-21 12:04:00,On Time,2020-03-27,2022-12-28
FL00087,UA2148,AC0031,BMW,VRJ,2023-07-31 19:41:00,2023-08-01 00:41:00,2023-07-31 19:41:00,2023-08-01 00:41:00,On Time,2022-08-11,2022-07-22
FL00088,LH1889,AC0038,YZY,FJK,2023-05-06 18:15:00,2023-05-07 01:15:00,,,Cancelled,2020-11-02,2022-04-16
FL00089,DL9768,AC0020,RYZ,AJF,2023-07-18 21:28:00,2023-07-19 04:28:00,,,Cancelled,2022-03-02,2022-07-11
FL00090,BA9947,AC0007,EGA,JMW,2023-01-13 17:57:00,2023-01-13 18:57:00,2023-01-13 17:57:00,2023-01-13 18:57:00,On Time,2022-05-09,2022-04-24
FL00091,AA6290,AC0036,MKO,MZY,2023-06-04 21:38:00,2023-06-05 09:38:00,2023-06-04 21:38:00,2023-06-05 09:38:00,Delayed,2020-11-05,2022-04-01
FL00092,UA4026,AC0033,EXJ,BMW,2023-12-11 13:23:00,2023-12-11 14:23:00,2023-12-11 13:23:00,2023-12-11 14:23:00,Delayed,2021-01-11,2022-01-16
FL00093,DL6716,AC0002,RYZ,IPW,2023-11-17 20:48:00,2023-11-18 03:48:00,2023-11-17 20:48:00,2023-11-18 03:48:00,On Time,2022-10-16,2022-08-06
FL00094,DL8551,AC0011,CZS,WTQ,2023-07-14 14:14:00,2023-07-14 17:14:00,2023-07-14 14:14:00,2023-07-14 17:14:00,On Time,2021-10-30,2022-10-28
FL00095,DL4851,AC0047,LTH,CZS,2023-04-11 19:51:00,2023-04-11 23:51:00,2023-04-11 19:51:00,2023-04-11 23:51:00,On Time,2022-11-19,2022-02-07
FL00096,LH6756,AC0042,TJS,VRJ,2023-05-02 18:02:00,2023-05-03 03:02:00,2023-05-02 18:02:00,2023-05-03 03:02:00,On Time,2020-04-26,2022-02-24
FL00097,UA7339,AC0045,YXX,MHM,2023-12-31 02:41:00,2023-12-31 09:41:00,2023-12-31 02:41:00,2023-12-31 09:41:00,On Time,2020-07-14,2022-06-24
FL00098,BA2331,AC0031,EGA,BMW,2023-02-05 08:06:00,2023-02-05 12:06:00,2023-02-05 08:06:00,2023-02-05 12:06:00,Delayed,2021-05-04,2022-09-20
FL00099,LH7159,AC0026,WTQ,PFA,2023-07-21 06:05:00,2023-07-21 11:05:00,2023-07-21 06:05:00,2023-07-21 11:05:00,Delayed,2021-08-03,2022-03-15
FL00100,AA3559,AC0049,YZY,FWE,2023-07-16 02:17:00,2023-07-16 08:17:00,2023-07-16 02:17:00,2023-07-16 08:17:00,On Time,2021-10-25,2022-07-03
FL00101,LH608,AC0050,YZY,UIA,2023-11-28 01:51:00,2023-11-28 05:51:00,2023-11-28 01:51:00,2023-11-28 05:51:00,Delayed,2020-04-02,2023-01-01
FL00102,LH8130,AC0027,FJK,SYI,2023-06-12 10:56:00,2023-06-12 12:56:00,2023-06-12 10:56:00,2023-06-12 12:56:00,Delayed,2022-11-08,2022-11-24
FL00103,BA2485,AC0003,GIS,JMW,2023-03-22 18:53:00,2023-03-23 06:53:00,2023-03-22 18:53:00,2023-03-23 06:53:00,Delayed,2022-05-10,2022-08-23
FL00104,LH2920,AC0041,DZJ,YXX,2023-02-17 20:31:00,2023-02-18 08:31:00,2023-02-17 20:31:00,2023-02-18 08:31:00,On Time,2022-06-25,2022-03-22
FL00105,BA5272,AC0019,FUN,NRQ,2023-01-20 09:01:00,2023-01-20 12:01:00,2023-01-20 09:01:00,2023-01-20 12:01:00,Delayed,2022-03-08,2022-02-03
FL00106,AA1979,AC0044,NRQ,CZS,2023-06-29 09:57:00,2023-06-29 11:57:00,2023-06-29 09:57:00,2023-06-29 11:57:00,On Time,2022-10-20,2022-12-22
FL00107,UA1639,AC0048,SYI,WUE,2023-04-18 09:05:00,2023-04-18 13:05:00,2023-04-18 09:05:00,2023-04-18 13:05:00,On Time,2020-04-08,2022-01-24
FL00108,UA490,AC0020,DZJ,BRC,2023-04-12 01:19:00,2023-04-12 09:19:00,2023-04-12 01:19:00,2023-04-12 09:19:00,Delayed,2022-06-23,2022-01-15
FL00109,BA6840,AC0017,JEE,YLS,2023-01-26 01:42:00,2023-01-26 08:42:00,2023-01-26 01:42:00,2023-01-26 08:42:00,On Time,2021-09-15,2022-11-08
FL00110,LH6547,AC0001,EGA,TJS,2023-02-27 16:48:00,2023-02-28 03:48:00,2023-02-27 16:48:00,2023-02-28 03:48:00,On Time,2020-12-10,2022-01-20
FL00111,BA1481,AC0033,OFX,SYI,2023-04-09 03:38:00,2023-04-09 10:38:00,,,Cancelled,2020-11-01,2022-12-21
FL00112,DL9859,AC0006,TJS,BMW,2023-08-14 07:28:00,2023-08-14 17:28:00,2023-08-14 07:28:00,2023-08-14 17:28:00,On Time,2022-08-02,2022-04-19
FL00113,LH4880,AC0018,EGA,BRC,2023-10-15 02:08:00,2023-10-15 11:08:00,2023-10-15 02:08:00,2023-10-15 11:08:00,Delayed,2020-03-06,2022-03-31
FL00114,UA1884,AC0035,VKZ,CZS,2023-01-11 13:56:00,2023-01-11 16:56:00,2023-01-11 13:56:00,2023-01-11 16:56:00,Delayed,2022-08-12,2022-04-06
FL00115,AA6829,AC0050,YZY,DZJ,2023-07-17 22:46:00,2023-07-18 10:46:00,,,Cancelled,2022-04-13,2022-11-02
FL00116,AA3531,AC0003,MHM,YQQ,2023-11-28 13:29:00,2023-11-28 17:29:00,2023-11-28 13:29:00,2023-11-28 17:29:00,Delayed,2021-05-12,2022-01-29
FL00117,LH7787,AC0032,XIL,EXJ,2023-08-05 11:54:00,2023-08-05 15:54:00,2023-08-05 11:54:00,2023-08-05 15:54:00,On Time,2022-02-11,2022-07-09
FL00118,UA3099,AC0021,JEE,OFX,2023-01-31 02:22:00,2023-01-31 07:22:00,,,Cancelled,2021-06-04,2022-02-24
FL00119,AA9541,AC0029,BRC,XYK,2023-06-19 13:12:00,2023-06-19 17:12:00,2023-06-19 13:12:00,2023-06-19 17:12:00,Delayed,2021-06-06,2022-12-19
FL00120,LH4143,AC0045,NAN,BHO,2023-02-01 07:08:00,2023-02-01 08:08:00,2023-02-01 07:08:00,2023-02-01 08:08:00,On Time,2022-05-16,2022-09-10
FL00121,AA2668,AC0009,MKO,YZY,2023-07-20 13:00:00,2023-07-20 22:00:00,2023-07-20 13:00:00,2023-07-20 22:00:00,On Time,2021-05-15,2022-08-31
FL00122,LH8819,AC0025,BRC,IPW,2023-02-06 02:47:00,2023-02-06 07:47:00,2023-02-06 02:47:00,2023-02-06 07:47:00,On Time,2022-05-05,2022-10-26
FL00123,LH6993,AC0017,VXN,VKZ,2023-05-09 21:14:00,2023-05-10 03:14:00,2023-05-09 21:14:00,2023-05-10 03:14:00,Delayed,2020-04-05,2022-11-28
FL00124,UA1359,AC0023,EPT,VXN,2023-11-27 10:35:00,2023-11-27 15:35:00,2023-11-27 10:35:00,2023-11-27 15:35:00,Delayed,2021-02-09,2022-02-14
FL00125,LH2313,AC0011,NRQ,EPT,2023-08-29 17:19:00,2023-08-30 05:19:00,2023-08-29 17:19:00,2023-08-30 05:19:00,Delayed,2020-06-11,2022-10-11
FL00126,DL8049,AC0014,FWE,ZBQ,2023-04-19 10:22:00,2023-04-19 16:22:00,2023-04-19 10:22:00,2023-04-19 16:22:00,Delayed,2022-09-01,2022-09-08
FL00127,DL9432,AC0048,MHM,BRC,2023-04-10 21:02:00,2023-04-11 01:02:00,2023-04-10 21:02:00,2023-04-11 01:02:00,Delayed,2021-08-22,2022-11-16
FL00128,UA7658,AC0009,ZBQ,NPC,2023-06-03 01:24:00,2023-06-03 11:24:00,2023-06-03 01:24:00,2023-06-03 11:24:00,Delayed,2022-02-24,2022-11-22
FL00129,LH2825,AC0036,FUN,HZP,2023-04-05 15:55:00,2023-04-05 18:55:00,,,Cancelled,2022-11-18,2022-10-29
FL00130,BA7691,AC0005,JMW,INO,2023-07-14 20:20:00,2023-07-15 03:20:00,2023-07-14 20:20:00,2023-07-15 03:20:00,Delayed,2022-09-19,2022-10-13
FL00131,UA4681,AC0021,AGZ,ZBQ,2023-10-28 07:10:00,2023-10-28 17:10:00,2023-10-28 07:10:00,2023-10-28 17:10:00,On Time,2020-07-09,2022-08-18
FL00132,DL6245,AC0017,INO,WUE,2023-03-17 00:06:00,2023-03-17 08:06:00,,,Cancelled,2021-06-15,2022-11-10
FL00133,DL8890,AC0008,JMW,AGZ,2023-03-25 20:26:00,2023-03-26 01:26:00,2023-03-25 20:26:00,2023-03-26 01:26:00,Delayed,2021-10-07,2023-01-01
FL00134,BA6374,AC0033,YZY,EXJ,2023-07-09 00:40:00,2023-07-09 08:40:00,2023-07-09 00:40:00,2023-07-09 08:40:00,On Time,2021-04-29,2022-08-31
FL00135,DL9991,AC0025,IPW,YZY,2023-01-26 13:15:00,2023-01-26 22:15:00,,,Cancelled,2021-07-17,2022-05-03
FL00136,DL8244,AC0026,AJF,EGA,2023-04-29 16:37:00,2023-04-29 21:37:00,2023-04-29 16:37:00,2023-04-29 21:37:00,On Time,2022-10-22,2022-01-04
FL00137,AA7879,AC0013,FWE,BRC,2023-11-24 13:10:00,2023-11-24 14:10:00,2023-11-24 13:10:00,2023-11-24 14:10:00,On Time,2021-05-15,2022-12-15
FL00138,LH997,AC0031,WTQ,RYZ,2023-02-24 13:59:00,2023-02-24 16:59:00,2023-02-24 13:59:00,2023-02-24 16:59:00,On Time,2022-10-30,2022-12-29
FL00139,DL2215,AC0024,AGZ,NAN,2023-07-21 18:11:00,2023-07-21 23:11:00,2023-07-21 18:11:00,2023-07-21 23:11:00,Delayed,2020-10-28,2022-03-11
FL00140,BA5316,AC0001,NRQ,YLS,2023-11-16 01:35:00,2023-11-16 10:35:00,,,Cancelled,2020-02-23,2022-05-20
FL00141,AA8132,AC0045,YZY,JEE,2023-12-04 00:47:00,2023-12-04 06:47:00,,,Cancelled,2020-07-28,2022-10-01
FL00142,BA4059,AC0033,OFX,DWY,2023-04-04 09:57:00,2023-04-04 12:57:00,2023-04-04 09:57:00,2023-04-04 12:57:00,On Time,2021-04-18,2022-08-11
FL00143,LH8218,AC0021,IPW,FUN,2023-02-09 06:26:00,2023-02-09 07:26:00,2023-02-09 06:26:00,2023-02-09 07:26:00,On Time,2021-07-17,2022-09-21
FL00144,AA9675,AC0032,FUN,BMW,2023-04-14 01:08:00,2023-04-14 02:08:00,2023-04-14 01:08:00,2023-04-14 02:08:00,On Time,2022-09-21,2022-05-11
FL00145,UA6356,AC0004,BHO,MCQ,2023-08-25 21:54:00,2023-08-26 04:54:00,2023-08-25 21:54:00,2023-08-26 04:54:00,Delayed,2022-02-26,2022-06-19
FL00146,LH1665,AC0016,BHO,MKO,2023-12-17 01:44:00,2023-12-17 02:44:00,2023-12-17 01:44:00,2023-12-17 02:44:00,On Time,2022-01-12,2022-01-16
FL00147,UA8604,AC0024,RYZ,WUE,2023-03-03 11:58:00,2023-03-03 18:58:00,2023-03-03 11:58:00,2023-03-03 18:58:00,On Time,2021-06-25,2022-05-15
FL00148,AA4613,AC0025,EGA,PFA,2023-10-18 10:22:00,2023-10-18 14:22:00,2023-10-18 10:22:00,2023-10-18 14:22:00,On Time,2022-04-01,2022-06-04
FL00149,LH8571,AC0049,EPT,YWA,2023-02-20 04:21:00,2023-02-20 13:21:00,2023-02-20 04:21:00,2023-02-20 13:21:00,On Time,2021-09-08,2022-03-31
FL00150,DL2423,AC0015,VKZ,GIS,2023-10-10 17:43:00,2023-10-10 22:43:00,2023-10-10 17:43:00,2023-10-10 22:43:00,On Time,2021-11-12,2022-02-27
FL00151,DL6252,AC0031,NAN,EGA,2023-12-16 12:30:00,2023-12-16 23:30:00,2023-12-16 12:30:00,2023-12-16 23:30:00,On Time,2020-04-19,2022-08-27
FL00152,LH7588,AC0014,EGA,FWE,2023-08-03 04:41:00,2023-08-03 08:41:00,2023-08-03 04:41:00,2023-08-03 08:41:00,Delayed,2021-05-21,2022-12-30
FL00153,UA5857,AC0011,GUE,INO,2023-09-11 18:22:00,2023-09-11 22:22:00,2023-09-11 18:22:00,2023-09-11 22:22:00,Delayed,2020-10-21,2022-10-12
FL00154,AA1934,AC0012,RYZ,SYI,2023-10-27 03:32:00,2023-10-27 12:32:00,2023-10-27 03:32:00,2023-10-27 12:32:00,Delayed,2022-12-17,2022-11-14
