reservation_id,ticket_number,passenger_id,channel_id,promotion_id,fare_basis_id,flight_id,booking_date,departure_date,booking_class,seat_number,promotion_amount,tax_amount,operational_fees,cancellation_fees,fare_price,final_price,is_cancelled,cancellation_reason,cancellation_date,created_at,updated_at
RS000028,TK952972822,PA009545,2,,FB0041,FL00368,2022-08-12 00:19:24,2023-02-26 17:03:54,Y,22B,0.0,28.45,22.61,56.9,284.49,335.55,True,Schedule change,2023-03-09 04:26:43,2022-05-16 13:57:40,2022-05-18 10:43:05
RS000029,TK733216669,PA009385,1,PR0002,FB0015,FL00541,2022-07-21 19:05:43,2023-10-19 06:56:58,Y,45A,53.65,28.45,27.13,56.9,284.49,286.42,True,Schedule change,2023-12-12 11:22:58,2022-06-12 05:14:59,2022-09-07 23:05:48
RS000030,TK942937814,PA009948,2,,FB0039,FL00712,2022-04-22 02:57:48,2023-10-17 07:33:17,Y,41F,0.0,28.45,33.18,0.0,284.49,346.12,False,,,2022-02-21 17:18:50,2022-09-13 10:59:31
RS000031,TK991290770,PA006024,1,,FB0019,FL00020,2022-05-28 12:45:38,2023-12-08 13:05:33,Y,28C,0.0,28.45,24.77,0.0,284.49,337.71,False,,,2022-03-27 02:59:56,2022-02-16 13:36:35
RS000032,TK423963941,PA007663,2,,FB0041,FL00545,2022-09-15 17:15:58,2023-03-05 07:13:15,Y,30D,0.0,28.45,31.47,0.0,284.49,344.40999999999997,False,,,2022-07-01 05:15:25,2022-11-03 07:59:42
RS000033,TK597390451,PA003300,2,,FB0011,FL00185,2022-07-12 17:30:12,2023-07-10 16:41:45,Y,21E,0.0,28.45,10.33,0.0,284.49,323.27,False,,,2022-07-06 10:13:16,2022-03-16 16:46:01
RS000034,TK873893604,PA008724,1,PR0015,FB0031,FL00215,2022-12-22 18:55:40,2023-11-08 02:07:02,Y,31A,58.03,28.45,26.5,0.0,284.49,281.40999999999997,False,,,2022-06-13 02:14:38,2022-12-07 12:11:07
RS000035,TK989120879,PA005259,2,,FB0049,FL00628,2022-07-11 22:06:27,2023-03-20 22:14:35,Y,9C,0.0,28.45,18.05,0.0,284.49,330.99,False,,,2022-09-04 08:38:54,2022-09-12 17:11:28
RS000036,TK325839043,PA007286,1,PR0018,FB0014,FL00516,2022-04-18 16:40:08,2023-06-01 10:07:51,Y,26D,77.33,28.45,16.49,0.0,284.49,252.10000000000002,False,,,2022-08-24 15:41:06,2022-11-28 18:01:33
RS000037,TK260689015,PA009915,2,,FB0001,FL00206,2022-03-17 14:34:05,2023-05-02 06:35:33,Y,8A,0.0,28.45,31.55,56.9,284.49,344.49,True,Personal reasons,2023-07-22 12:25:02,2022-12-13 12:48:15,2022-02-21 05:18:35
RS000038,TK536712052,PA005715,2,,FB0003,FL00245,2022-01-03 08:10:20,2023-05-09 10:17:40,Y,26F,0.0,28.45,23.01,0.0,284.49,335.95,False,,,2022-03-25 10:52:53,2022-05-14 04:41:22
RS000039,TK139337246,PA000381,2,,FB0032,FL00371,2022-04-04 02:56:13,2023-01-06 05:06:18,Y,23A,0.0,28.45,16.13,0.0,284.49,329.07,False,,,2022-04-19 22:14:45,2022-12-01 21:18:33
RS000040,TK122900499,PA001386,1,,FB0044,FL00120,2022-01-29 05:10:01,2023-05-30 17:19:14,Y,1A,0.0,28.45,17.35,0.0,284.49,330.29,False,,,2022-07-10 18:49:13,2022-04-24 23:28:27
RS000041,TK744835996,PA007234,2,,FB0003,FL00453,2022-12-09 04:34:11,2023-11-01 12:23:23,Y,31A,0.0,28.45,46.89,0.0,284.49,359.83,False,,,2022-04-11 03:25:06,2022-06-24 10:50:11
RS000042,TK395442467,PA000963,2,,FB0016,FL00005,2022-07-29 06:43:43,2023-04-18 23:03:45,Y,30F,0.0,28.45,12.83,0.0,284.49,325.77,False,,,2022-08-04 05:35:20,2022-02-15 08:23:19
RS000043,TK385145077,PA007549,1,PR0015,FB0023,FL00718,2022-12-22 20:17:09,2023-12-15 01:51:31,Y,39C,75.59,28.45,41.72,0.0,284.49,279.06999999999994,False,,,2022-10-11 22:33:31,2022-10-24 07:07:25
RS000044,TK480191215,PA002448,2,,FB0013,FL00533,2022-06-28 02:47:49,2023-04-03 05:08:24,Y,43D,0.0,28.45,46.63,0.0,284.49,359.57,False,,,2022-04-10 11:54:23,2022-08-10 08:30:07
RS000045,TK384619456,PA005223,1,,FB0016,FL00617,2022-04-15 21:50:15,2023-07-04 09:51:04,Y,36D,0.0,28.45,32.9,0.0,284.49,345.84,False,,,2022-05-31 10:10:59,2022-03-01 10:00:56
RS000046,TK961619531,PA009480,1,,FB0027,FL00802,2022-03-11 23:38:49,2023-09-25 01:07:54,Y,11D,0.0,28.45,22.44,0.0,284.49,335.38,False,,,2022-04-03 12:47:28,2022-01-18 04:32:58
RS000047,TK290810408,PA009016,2,,FB0039,FL00201,2022-04-06 20:13:38,2023-06-15 23:06:08,Y,16A,0.0,28.45,25.03,0.0,284.49,337.97,False,,,2022-11-12 14:41:15,2022-01-26 14:46:28
RS000048,TK896430664,PA002680,2,PR0005,FB0039,FL00894,2022-03-20 23:31:49,2023-10-30 03:46:37,Y,2D,55.28,28.45,32.77,0.0,284.49,290.42999999999995,False,,,2022-04-06 08:54:51,2022-07-20 06:26:36
RS000049,TK502803685,PA008831,1,,FB0028,FL00596,2022-01-18 23:18:31,2023-10-21 00:43:50,Y,24A,0.0,28.45,20.22,0.0,284.49,333.15999999999997,False,,,2022-01-20 15:29:23,2022-10-26 13:16:59
RS000050,TK328314702,PA001939,2,,FB0048,FL00649,2022-04-19 06:26:44,2023-06-10 03:56:21,Y,12E,0.0,28.45,48.31,0.0,284.49,361.25,False,,,2022-05-10 13:11:27,2022-03-27 22:35:44
RS000051,TK924829375,PA003916,1,,FB0019,FL00957,2022-08-29 15:14:18,2023-02-20 02:54:54,Y,3E,0.0,28.45,45.99,0.0,284.49,358.93,False,,,2022-11-29 16:01:33,2022-11-13 16:37:55
RS000052,TK706407495,PA008696,1,,FB0047,FL00485,2022-03-21 02:51:25,2023-03-31 04:59:17,Y,14F,0.0,28.45,19.89,0.0,284.49,332.83,False,,,2022-06-27 18:34:41,2022-09-18 14:33:59
RS000053,TK896404814,PA005863,1,PR0020,FB0033,FL00655,2022-05-02 13:24:47,2023-03-31 15:36:26,Y,29C,99.76,28.45,36.17,0.0,284.49,249.35000000000002,False,,,2022-01-06 17:54:48,2022-11-08 23:16:34
RS000054,TK372279187,PA002746,2,,FB0048,FL00623,2022-04-04 18:54:50,2023-05-10 06:37:53,Y,49D,0.0,28.45,29.62,0.0,284.49,342.56,False,,,2022-11-10 03:50:55,2022-05-25 12:28:34
RS000055,TK960199392,PA009686,1,PR0002,FB0042,FL00028,2022-02-20 19:27:44,2023-01-16 11:21:36,Y,15C,84.47,28.45,42.82,0.0,284.49,271.28999999999996,False,,,2022-11-21 09:30:03,2022-04-12 21:33:37
RS000056,TK905936664,PA003959,1,,FB0030,FL00629,2022-04-21 19:23:35,2023-03-27 06:02:21,Y,13E,0.0,28.45,17.16,0.0,284.49,330.1,False,,,2022-08-02 12:06:51,2022-05-19 03:51:39
RS000057,TK430858528,PA003980,2,PR0019,FB0027,FL00851,2022-03-08 21:55:42,2023-03-25 15:00:30,Y,13E,17.35,28.45,15.66,0.0,284.49,311.25,False,,,2022-04-06 15:35:32,2022-03-30 04:51:37
RS000058,TK986433267,PA005420,1,,FB0033,FL00617,2022-03-08 17:11:21,2023-08-30 12:50:05,Y,25F,0.0,28.45,10.54,0.0,284.49,323.48,False,,,2022-10-06 20:42:59,2022-11-29 05:27:18
RS000059,TK737106776,PA002733,1,PR0003,FB0033,FL00451,2022-08-01 02:55:36,2023-03-07 00:57:28,Y,12E,88.83,28.45,33.14,0.0,284.49,257.25,False,,,2022-05-29 13:53:45,2022-07-30 22:48:02
RS000060,TK872239856,PA009674,2,PR0004,FB0040,FL00098,2022-05-29 19:36:13,2023-12-10 17:40:17,Y,43C,75.82,28.45,22.25,0.0,284.49,259.37,False,,,2022-07-31 14:02:59,2022-05-27 23:46:37
RS000061,TK277516493,PA007083,2,,FB0050,FL00015,2022-07-06 13:43:46,2023-02-09 13:21:38,Y,8E,0.0,28.45,38.08,56.9,284.49,351.02,True,Personal reasons,2023-10-13 20:39:54,2022-08-28 20:15:14,2022-12-29 04:59:30
RS000062,TK876473571,PA001848,1,,FB0028,FL00184,2022-11-12 19:48:45,2023-11-14 11:22:22,Y,39A,0.0,28.45,38.36,0.0,284.49,351.3,False,,,2022-05-04 05:47:36,2022-10-13 22:58:42
RS000063,TK651825044,PA005045,1,,FB0018,FL00775,2022-10-31 05:11:30,2023-06-01 16:26:21,Y,42D,0.0,28.45,25.84,0.0,284.49,338.78,False,,,2022-04-04 09:35:40,2022-09-18 22:29:45
RS000064,TK286908802,PA009047,2,PR0008,FB0039,FL00392,2022-07-25 04:26:35,2023-05-15 10:05:26,Y,35F,54.03,28.45,35.01,0.0,284.49,293.91999999999996,False,,,2022-06-21 17:15:06,2022-08-04 05:37:19
RS000065,TK233664266,PA007081,1,,FB0010,FL00581,2022-01-07 01:36:06,2023-09-24 13:40:47,Y,34E,0.0,28.45,35.63,0.0,284.49,348.57,False,,,2022-11-29 15:25:06,2022-08-16 00:01:21
RS000066,TK935810939,PA003420,2,,FB0022,FL00343,2022-06-19 13:07:47,2023-02-04 13:53:50,Y,43F,0.0,28.45,39.84,56.9,284.49,352.78,True,Found better price,2023-06-29 13:06:49,2022-03-19 13:27:24,2022-05-25 04:35:24
RS000067,TK794858825,PA007958,2,,FB0041,FL00717,2022-08-09 16:44:27,2023-05-23 15:40:03,Y,5C,0.0,28.45,28.4,0.0,284.49,341.34,False,,,2022-07-10 18:56:42,2022-07-15 13:26:41
RS000068,TK451569861,PA008102,2,PR0005,FB0048,FL00370,2022-04-04 03:11:17,2023-02-18 00:00:31,Y,25F,96.34,28.45,22.18,0.0,284.49,238.78,False,,,2022-08-15 09:29:41,2022-05-12 22:19:53
RS000069,TK649681866,PA003251,2,,FB0041,FL00709,2022-12-20 00:37:02,2023-08-03 09:51:25,Y,33F,0.0,28.45,24.22,56.9,284.49,337.15999999999997,True,Schedule change,2023-02-10 00:36:06,2022-01-15 07:26:31,2022-09-02 16:12:36
RS000070,TK165172868,PA003886,2,,FB0043,FL00914,2022-04-08 02:30:44,2023-09-03 00:55:50,Y,8E,0.0,28.45,41.1,0.0,284.49,354.04,False,,,2022-08-02 20:10:16,2022-02-07 13:47:52
RS000071,TK568913819,PA001324,2,,FB0013,FL00594,2022-04-14 23:45:45,2023-01-16 23:44:05,Y,12F,0.0,28.45,11.37,0.0,284.49,324.31,False,,,2022-03-09 04:32:18,2022-12-09 16:24:23
RS000072,TK691598817,PA008790,1,,FB0034,FL00697,2022-11-19 23:25:34,2023-07-26 15:19:38,Y,29C,0.0,28.45,14.76,0.0,284.49,327.7,False,,,2022-06-30 01:19:38,2022-07-29 02:34:00
RS000073,TK441221355,PA007772,2,,FB0028,FL00852,2022-11-22 17:48:12,2023-07-24 07:23:36,Y,14A,0.0,28.45,37.78,0.0,284.49,350.72,False,,,2022-03-30 18:48:45,2022-08-23 04:53:52
RS000074,TK919047670,PA000524,2,,FB0032,FL00741,2022-09-19 18:18:09,2023-12-20 12:50:25,Y,4C,0.0,28.45,24.64,0.0,284.49,337.58,False,,,2022-01-07 02:46:48,2022-11-11 11:00:00
RS000075,TK905313861,PA007872,2,,FB0003,FL00862,2022-01-09 03:00:04,2023-10-25 10:48:17,Y,9E,0.0,28.45,48.95,0.0,284.49,361.89,False,,,2022-01-11 06:21:00,2022-07-13 07:30:16
RS000076,TK855299855,PA001372,1,,FB0004,FL00136,2022-04-10 19:56:14,2023-11-14 10:59:10,Y,16B,0.0,28.45,23.8,0.0,284.49,336.74,False,,,2022-05-16 00:31:20,2022-04-25 14:58:57
RS000077,TK685478192,PA000314,2,,FB0046,FL00209,2022-02-07 01:58:24,2023-10-03 16:55:41,Y,24C,0.0,28.45,43.42,0.0,284.49,356.36,False,,,2022-04-13 05:51:24,2022-06-12 17:28:44
RS000078,TK244580273,PA002312,1,,FB0046,FL00211,2022-06-04 18:53:00,2023-07-14 16:00:02,Y,36B,0.0,28.45,19.41,0.0,284.49,332.35,False,,,2022-03-11 16:30:57,2022-09-15 20:34:16
RS000079,TK695111510,PA006993,2,PR0011,FB0002,FL00751,2022-03-30 10:21:31,2023-07-01 23:00:12,Y,9F,68.42,28.45,31.01,0.0,284.49,275.53,False,,,2022-03-03 08:34:48,2022-05-29 19:48:04
RS000080,TK386142869,PA003846,1,,FB0006,FL00410,2022-10-31 02:20:02,2023-08-30 06:54:03,Y,1A,0.0,28.45,32.19,0.0,284.49,345.13,False,,,2022-04-12 10:14:34,2022-07-16 03:05:09
RS000081,TK481066040,PA002524,1,,FB0049,FL00672,2022-03-23 07:50:22,2023-09-11 09:02:00,Y,8A,0.0,28.45,31.41,0.0,284.49,344.35,False,,,2022-02-09 13:20:22,2022-04-26 15:00:03
RS000082,TK241399204,PA004828,1,PR0009,FB0005,FL00462,2022-05-25 11:24:35,2023-01-08 12:08:03,Y,1D,12.93,28.45,10.67,0.0,284.49,310.68,False,,,2022-05-26 10:12:05,2022-05-16 23:16:51
RS000083,TK268003612,PA002207,1,,FB0047,FL00569,2022-04-19 03:31:41,2023-01-30 11:58:03,Y,47D,0.0,28.45,30.7,0.0,284.49,343.64,False,,,2022-02-16 12:54:35,2022-10-31 00:21:19
RS000084,TK946952784,PA009235,2,,FB0036,FL00370,2022-07-10 23:33:25,2023-06-16 23:00:47,Y,9C,0.0,28.45,10.87,0.0,284.49,323.81,False,,,2022-10-23 02:18:43,2022-05-23 05:06:10
RS000085,TK705785426,PA007365,1,,FB0010,FL00580,2022-10-05 10:49:35,2023-07-04 09:20:23,Y,36C,0.0,28.45,44.57,0.0,284.49,357.51,False,,,2022-11-17 10:58:18,2022-10-12 23:21:34
RS000086,TK850523561,PA006197,1,,FB0010,FL00624,2022-02-02 00:46:12,2023-02-04 12:12:24,Y,34A,0.0,28.45,47.82,0.0,284.49,360.76,False,,,2022-07-27 05:09:03,2022-09-09 07:51:34
RS000087,TK250785690,PA000581,1,,FB0042,FL00598,2022-07-22 15:59:40,2023-03-07 04:52:46,Y,48E,0.0,28.45,37.61,0.0,284.49,350.55,False,,,2022-04-27 07:11:26,2022-03-02 20:20:27
RS000088,TK359317633,PA006859,1,,FB0034,FL00991,2022-11-11 17:55:43,2023-04-05 21:46:16,Y,19A,0.0,28.45,43.28,0.0,284.49,356.22,False,,,2022-06-12 18:57:09,2022-05-01 17:46:36
RS000089,TK390847268,PA008219,1,,FB0020,FL00204,2022-05-12 20:54:38,2023-02-19 13:06:46,Y,19E,0.0,28.45,45.18,0.0,284.49,358.12,False,,,2022-06-12 14:43:09,2022-09-30 13:54:57
RS000090,TK707017149,PA009352,2,,FB0018,FL00944,2022-08-24 23:25:47,2023-09-01 19:23:06,Y,21B,0.0,28.45,23.75,0.0,284.49,336.69,False,,,2022-10-28 01:58:33,2022-11-17 00:53:26
RS000091,TK400133186,PA009695,1,,FB0036,FL00048,2022-10-11 16:21:53,2023-06-17 04:08:09,Y,7E,0.0,28.45,48.99,0.0,284.49,361.93,False,,,2022-01-30 20:08:48,2022-05-19 00:59:55
RS000092,TK595338401,PA001483,2,,FB0004,FL00108,2022-03-31 14:12:41,2023-04-10 23:36:06,Y,42E,0.0,28.45,21.12,0.0,284.49,334.06,False,,,2022-05-23 03:35:01,2022-07-30 01:54:17
RS000093,TK370385007,PA009506,2,,FB0011,FL00147,2022-01-25 03:09:50,2023-09-16 04:17:45,Y,9B,0.0,28.45,19.98,0.0,284.49,332.92,False,,,2022-10-01 00:32:12,2022-08-29 12:55:28
RS000094,TK383339583,PA002204,2,PR0015,FB0041,FL00265,2022-01-03 01:18:21,2023-09-04 08:15:32,Y,45C,52.32,28.45,33.7,0.0,284.49,294.32,False,,,2022-09-17 20:02:41,2022-06-20 13:42:12
RS000095,TK125266159,PA002622,1,PR0020,FB0047,FL00787,2022-11-01 19:57:05,2023-03-12 23:08:58,Y,23B,72.05,28.45,25.14,0.0,284.49,266.03,False,,,2022-12-24 16:04:19,2022-05-06 11:51:43
RS000096,TK280412735,PA006341,2,,FB0047,FL00817,2022-10-12 06:16:48,2023-12-17 00:20:18,Y,36E,0.0,28.45,44.13,0.0,284.49,357.07,False,,,2022-08-16 12:02:41,2022-02-03 05:43:48
RS000097,TK197044942,PA005726,2,,FB0006,FL00060,2022-02-22 15:25:14,2023-02-13 20:05:27,Y,11D,0.0,28.45,12.94,0.0,284.49,325.88,False,,,2022-02-04 23:12:42,2022-01-15 13:51:22
RS000098,TK678595602,PA007088,1,,FB0046,FL00704,2022-04-03 16:50:40,2023-05-05 08:34:13,Y,21D,0.0,28.45,33.91,0.0,284.49,346.85,False,,,2022-08-04 19:14:31,2022-07-07 15:05:26
RS000099,TK692790640,PA006202,2,,FB0005,FL00195,2022-05-24 20:52:55,2023-10-13 01:59:34,Y,2B,0.0,28.45,33.08,0.0,284.49,346.02,False,,,2022-06-05 15:05:44,2022-09-18 22:47:40
RS000100,TK748226903,PA000105,2,PR0019,FB0030,FL00833,2022-09-10 17:55:57,2023-06-01 21:52:08,Y,22A,72.07,28.45,29.68,56.9,284.49,270.55,True,Found better price,2023-06-26 19:43:11,2022-12-12 20:28:41,2022-05-02 11:29:19
RS000101,TK365741125,PA009950,2,,FB0031,FL00586,2022-07-23 03:05:33,2023-06-21 20:17:38,Y,47D,0.0,28.45,24.37,0.0,284.49,337.31,False,,,2022-11-08 22:52:20,2022-11-13 09:48:04
RS000102,TK788480506,PA000564,2,,FB0003,FL00905,2022-05-18 01:19:29,2023-02-18 21:06:13,Y,46B,0.0,28.45,24.32,0.0,284.49,337.26,False,,,2022-06-03 03:26:05,2022-05-03 21:25:52
RS000103,TK138022038,PA002367,2,,FB0024,FL00489,2022-01-05 02:12:44,2023-02-01 19:05:25,Y,13E,0.0,28.45,25.87,0.0,284.49,338.81,False,,,2022-10-26 22:18:17,2022-08-30 08:19:46
RS000104,TK568715710,PA002975,2,,FB0017,FL00710,2022-05-10 08:03:05,2023-03-04 17:28:13,Y,45E,0.0,28.45,19.19,0.0,284.49,332.13,False,,,2022-12-30 17:02:05,2022-06-01 05:27:06
RS000105,TK473485555,PA001340,1,,FB0048,FL00369,2022-09-22 16:41:22,2023-03-01 18:11:56,Y,23D,0.0,28.45,36.12,0.0,284.49,349.06,False,,,2022-04-14 20:16:05,2022-09-04 14:59:26
RS000106,TK966858027,PA005895,1,,FB0045,FL00734,2022-09-14 07:59:11,2023-02-10 06:16:24,Y,35C,0.0,28.45,11.45,0.0,284.49,324.39,False,,,2022-01-18 10:47:25,2022-04-26 04:37:34
RS000107,TK861787407,PA001853,1,,FB0050,FL00763,2022-11-03 17:05:10,2023-06-10 17:32:42,Y,41E,0.0,28.45,44.36,0.0,284.49,357.3,False,,,2022-07-14 11:15:31,2022-03-15 00:40:46
RS000108,TK534653459,PA006782,2,,FB0039,FL00193,2022-03-26 16:34:31,2023-03-04 10:45:21,Y,5B,0.0,28.45,30.29,0.0,284.49,343.23,False,,,2022-11-29 09:29:50,2022-05-27 13:55:26
RS000109,TK775304745,PA004960,2,PR0007,FB0050,FL00272,2022-11-07 00:53:20,2023-02-26 05:22:59,Y,48B,47.7,28.45,20.32,0.0,284.49,285.56,False,,,2022-06-20 11:31:10,2022-03-10 06:50:34
RS000110,TK887824458,PA004633,1,,FB0041,FL00688,2022-12-23 18:24:39,2023-05-26 04:22:54,Y,25F,0.0,28.45,21.33,0.0,284.49,334.27,False,,,2022-03-01 03:18:21,2022-08-26 15:34:20
RS000111,TK775233376,PA008856,1,PR0013,FB0039,FL00914,2022-02-28 11:33:43,2023-10-23 02:39:38,Y,17A,89.27,28.45,44.14,56.9,284.49,267.81,True,Schedule change,2023-12-09 00:59:29,2022-06-20 01:27:21,2022-04-18 19:21:07
RS000112,TK439880836,PA001101,2,PR0011,FB0014,FL00929,2022-12-10 15:10:19,2023-05-26 05:24:12,Y,1C,49.54,28.45,41.93,0.0,284.49,305.33,False,,,2022-07-26 18:07:49,2022-08-11 12:09:16
RS000113,TK806979004,PA001159,2,,FB0035,FL00635,2022-09-25 06:01:45,2023-01-16 20:47:40,Y,8D,0.0,28.45,42.01,0.0,284.49,354.95,False,,,2022-09-05 21:30:40,2022-04-24 15:44:13
RS000114,TK575494726,PA005356,1,,FB0046,FL00521,2022-11-22 19:17:30,2023-01-20 14:12:10,Y,45B,0.0,28.45,26.44,56.9,284.49,339.38,True,Schedule change,2023-06-12 21:20:30,2022-09-13 17:23:26,2022-03-13 04:55:01
RS000115,TK130539724,PA009865,2,,FB0027,FL00923,2022-12-13 10:33:51,2023-01-14 20:38:51,Y,17F,0.0,28.45,46.86,56.9,284.49,359.8,True,Personal reasons,2023-07-12 16:28:51,2022-08-16 06:10:13,2022-01-15 22:58:24
RS000116,TK166152922,PA007185,1,,FB0009,FL00997,2022-12-21 10:11:17,2023-05-11 05:34:40,Y,19D,0.0,28.45,47.63,0.0,284.49,360.57,False,,,2022-10-23 01:11:01,2022-01-23 14:33:33
